,outputs
43,"{'ID': 44, 'name': 'М.Видео', 'address': 'Автозаводская ул., 18, Москва', 'website': 'app.mvideo.ru', 'opening_hours': {'mon': '10:00-22:00', 'tue': '14:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/m_video/1712715976/?ll=37.639824%2C55.705042&z=16', 'goods': None, 'rating': '4,4', 'reviews': None, 'phone': [], 'social': ['https://ok.ru/mvideo', 'https://t.me/mvideo_official_bot', 'https://vk.com/mvideo', 'https://www.youtube.com/channel/UC84Z1707LlhS2zervmoqt3A']}"
44,"{'ID': 45, 'name': 'Sony Centre', 'address': 'Пресненская наб., 2, Москва', 'website': 'avcentre.ru', 'opening_hours': {'mon': '10:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-23:00', 'sat': '10:00-23:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/sony_centre/1248895791/?ll=37.539743%2C55.749157&z=16', 'goods': None, 'rating': '4,4', 'reviews': None, 'phone': ['+7 (495) 229-39-99Показать телефон'], 'social': ['http://youtube.com/channel/UCL77mxzvae39UVHV7Zr2KxQ', 'https://vk.com/sonycentrerussia']}"
45,"{'ID': 46, 'name': 'Ноу-хау', 'address': 'Кировоградская ул., 13А, Москва', 'website': 'ноу-хау.рф', 'opening_hours': {'mon': '10:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/nou_khau/1244850111/?ll=37.606999%2C55.612147&z=16', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': ['+7 (495) 514-12-12Показать телефон'], 'social': ['http://youtube.com/user/iontelevision', 'https://t.me/know_how_shop', 'https://vk.com/know_how_shop']}"
46,"{'ID': 47, 'name': 'Технопарк', 'address': 'Пресненская наб., 2, Москва', 'website': 'www.technopark.ru', 'opening_hours': {'mon': '10:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-23:00', 'sat': '10:00-23:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/tekhnopark/55878061247/?ll=37.539743%2C55.749162&z=16', 'goods': None, 'rating': '4,4', 'reviews': None, 'phone': ['+7 (495) 755-57-77 (доб. 6800)Показать телефон'], 'social': ['https://ok.ru/group/52570757267676', 'https://vk.com/technoparkru']}"
47,"{'ID': 48, 'name': '', 'address': '', 'website': '', 'opening_hours': {'mon': 'выходной', 'tue': 'выходной', 'wed': 'выходной', 'thu': 'выходной', 'fri': 'выходной', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/nota_plyus/1198866185/', 'goods': None, 'rating': '', 'reviews': None, 'phone': [], 'social': []}"
48,"{'ID': 49, 'name': 'BORK', 'address': 'просп. Вернадского, 6, Москва', 'website': 'www.bork.ru', 'opening_hours': {'mon': '10:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/bork/1267367363/?ll=37.527956%2C55.691958&z=16', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': ['+7 (968) 999-78-88Показать телефон'], 'social': ['https://t.me/bork_public', 'https://vk.com/borkrus', 'https://www.youtube.com/BORK']}"
49,"{'ID': 50, 'name': 'М.Видео', 'address': 'Ленинградское ш., 16А, Москва', 'website': 'app.mvideo.ru', 'opening_hours': {'mon': '14:00-23:00', 'tue': '10:00-23:00', 'wed': '10:00-23:00', 'thu': '10:00-23:00', 'fri': '10:00-23:00', 'sat': '10:00-23:00', 'sun': '10:00-23:00'}, 'ypage': 'https://yandex.ru/maps/org/m_video/4798249439/?ll=37.497216%2C55.823879&z=16', 'goods': None, 'rating': '4,4', 'reviews': None, 'phone': [], 'social': ['https://ok.ru/mvideo', 'https://t.me/mvideo_official_bot', 'https://vk.com/mvideo', 'https://www.youtube.com/channel/UC84Z1707LlhS2zervmoqt3A']}"
50,"{'ID': 51, 'name': 'Футулэнд', 'address': 'ул. Зацепа, 21, стр. 2, Москва', 'website': 'futuland.ru', 'opening_hours': {'mon': '10:00-19:00', 'tue': '10:00-19:00', 'wed': '10:00-19:00', 'thu': '10:00-19:00', 'fri': '10:00-19:00', 'sat': '10:00-15:00', 'sun': '10:00-15:00'}, 'ypage': 'https://yandex.ru/maps/org/futulend/154475366205/?ll=37.633348%2C55.729048&z=15', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': ['8 (800) 555-22-68Показать телефон'], 'social': ['https://vk.com/futulandru']}"
51,"{'ID': 52, 'name': 'InCraft', 'address': 'Новоостаповская ул., 5, стр. 14, Москва', 'website': 'incraft3d.ru', 'opening_hours': {'mon': '09:00-18:00', 'tue': '09:00-18:00', 'wed': '09:00-18:00', 'thu': '09:00-18:00', 'fri': '09:00-17:00', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/incraft/143272689379/?ll=37.680723%2C55.722995&z=14', 'goods': None, 'rating': '4,4', 'reviews': None, 'phone': [], 'social': ['https://www.youtube.com/channel/UCigjnvIJRXHzTwAZdqUkr9A']}"
52,"{'ID': 53, 'name': 'Ситилинк', 'address': 'к1104, Зеленоград', 'website': 'www.citilink.ru', 'opening_hours': {'mon': '10:00-21:00', 'tue': '10:00-21:00', 'wed': '10:00-21:00', 'thu': '10:00-21:00', 'fri': '10:00-21:00', 'sat': '10:00-21:00', 'sun': '10:00-21:00'}, 'ypage': 'https://yandex.ru/maps/org/sitilink/1200878204/?ll=37.188345%2C55.994684&z=14', 'goods': None, 'rating': '4,7', 'reviews': None, 'phone': ['+7 (495) 780-20-02Показать телефон'], 'social': ['https://ok.ru/citilink.ru', 'https://vk.com/citilink_ru', 'https://www.youtube.com/user/CitilinkTV']}"
53,"{'ID': 54, 'name': 'Холодильник.ру', 'address': 'Промышленная ул., 1, корп. 1, село Михайловская Слобода', 'website': 'www.holodilnik.ru', 'opening_hours': {'mon': '09:00-21:00', 'tue': '09:00-21:00', 'wed': '09:00-21:00', 'thu': '09:00-21:00', 'fri': '09:00-21:00', 'sat': '09:00-21:00', 'sun': '09:00-21:00'}, 'ypage': 'https://yandex.ru/maps/org/kholodilnik_ru/1354873250/?ll=38.069326%2C55.553259&z=16', 'goods': None, 'rating': '4,6', 'reviews': None, 'phone': ['+7 (495) 139-72-68Показать телефон'], 'social': ['https://ok.ru/group/61678334509134', 'https://t.me/holodilnikru', 'https://vk.com/holodilnik__ru', 'https://www.youtube.com/@superholodilnikru']}"
54,"{'ID': 55, 'name': 'М.Видео', 'address': 'Бесединское ш., вл15, Москва', 'website': 'app.mvideo.ru', 'opening_hours': {'mon': 'выходной', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/m_video/1293822494/?ll=37.761329%2C55.625283&z=16', 'goods': None, 'rating': '4,5', 'reviews': None, 'phone': [], 'social': ['https://ok.ru/mvideo', 'https://t.me/mvideo_official_bot', 'https://vk.com/mvideo', 'https://www.youtube.com/channel/UC84Z1707LlhS2zervmoqt3A']}"
55,"{'ID': 56, 'name': 'М.Видео', 'address': 'Ходынский бул., 4, Москва', 'website': 'app.mvideo.ru', 'opening_hours': {'mon': '12:00-23:00', 'tue': '10:00-23:00', 'wed': '10:00-23:00', 'thu': '10:00-23:00', 'fri': '10:00-23:00', 'sat': '10:00-23:00', 'sun': '10:00-23:00'}, 'ypage': 'https://yandex.ru/maps/org/m_video/1693651878/?ll=37.530920%2C55.790231&z=16', 'goods': None, 'rating': '4,5', 'reviews': None, 'phone': ['8 (800) 600-77-75Показать телефон'], 'social': ['https://ok.ru/mvideo', 'https://t.me/mvideo_official_bot', 'https://vk.com/mvideo', 'https://www.youtube.com/channel/UC84Z1707LlhS2zervmoqt3A']}"
56,"{'ID': 57, 'name': 'Aleksmobail', 'address': 'Рязанский просп., 28, Москва', 'website': 'aleksmobail.ru', 'opening_hours': {'mon': '10:00-21:30', 'tue': '10:00-21:30', 'wed': '10:00-21:30', 'thu': '10:00-21:30', 'fri': '10:00-21:30', 'sat': '10:00-21:30', 'sun': '10:00-21:30'}, 'ypage': 'https://yandex.ru/maps/org/aleksmobail/25341793965/?ll=37.778860%2C55.719360&z=16', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': ['+7 (967) 049-77-70Показать телефон'], 'social': ['https://viber.click/79670497770', 'https://wa.me/79670497770']}"
57,"{'ID': 58, 'name': 'DNS', 'address': '5, территория Ногинск-Технопарк, Ногинск', 'website': 'dns-shop.ru', 'opening_hours': {'mon': '13:00-20:00', 'tue': '10:00-20:45', 'wed': '10:00-20:45', 'thu': '10:00-20:45', 'fri': '10:00-20:45', 'sat': '10:00-20:45', 'sun': '10:00-20:45'}, 'ypage': 'https://yandex.ru/maps/org/dns/107368283762/?ll=38.393537%2C55.831449&z=16', 'goods': None, 'rating': '4,7', 'reviews': None, 'phone': ['8 (800) 770-79-99Показать телефон'], 'social': ['https://vk.com/dnsstore', 'https://www.youtube.com/c/DNSTV']}"
58,"{'ID': 59, 'name': '', 'address': '', 'website': '', 'opening_hours': {'mon': 'выходной', 'tue': 'выходной', 'wed': 'выходной', 'thu': 'выходной', 'fri': 'выходной', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/restore_/202029728837/', 'goods': None, 'rating': '', 'reviews': None, 'phone': [], 'social': []}"
59,"{'ID': 60, 'name': 'Ситилинк', 'address': 'ул. Пришвина, 26, Москва', 'website': 'www.citilink.ru', 'opening_hours': {'mon': '10:00-21:00', 'tue': '10:00-21:00', 'wed': '10:00-21:00', 'thu': '10:00-21:00', 'fri': '10:00-21:00', 'sat': '10:00-21:00', 'sun': '10:00-21:00'}, 'ypage': 'https://yandex.ru/maps/org/sitilink/47509697264/?ll=37.603721%2C55.884722&z=16', 'goods': None, 'rating': '4,7', 'reviews': None, 'phone': ['+7 (495) 780-20-02Показать телефон'], 'social': ['https://ok.ru/citilink.ru', 'https://vk.com/citilink_ru', 'https://www.youtube.com/user/CitilinkTV']}"
60,"{'ID': 61, 'name': 'A & T Trade', 'address': 'ул. 8 Марта, 1, стр. 12, Северный административный округ, Москва', 'website': 'www.athifi.ru', 'opening_hours': {'mon': '09:00-18:00', 'tue': '09:00-18:00', 'wed': '09:00-18:00', 'thu': '09:00-18:00', 'fri': '09:00-18:00', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/a_t_trade/1275931617/?ll=37.554676%2C55.801169&z=14', 'goods': None, 'rating': '4,6', 'reviews': None, 'phone': ['+7 (495) 280-00-04Показать телефон'], 'social': ['https://www.youtube.com/channel/UCLiHZefKmH6HRJzo4JDFEkw']}"
61,"{'ID': 62, 'name': 'М.Видео', 'address': 'Южная ул., 10А, Реутов', 'website': 'app.mvideo.ru', 'opening_hours': {'mon': 'выходной', 'tue': '10:00-21:00', 'wed': '10:00-21:00', 'thu': '10:00-21:00', 'fri': '10:00-21:00', 'sat': '10:00-21:00', 'sun': '10:00-21:00'}, 'ypage': 'https://yandex.ru/maps/org/m_video/47529939060/?ll=37.862130%2C55.747176&z=16', 'goods': None, 'rating': '4,7', 'reviews': None, 'phone': [], 'social': ['https://ok.ru/mvideo', 'https://vk.com/mvideo', 'https://www.youtube.com/channel/UC84Z1707LlhS2zervmoqt3A']}"
62,"{'ID': 63, 'name': 'М.Видео', 'address': 'Пролетарский просп., вл30, Москва', 'website': 'app.mvideo.ru', 'opening_hours': {'mon': 'выходной', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/m_video/37071321654/?ll=37.658652%2C55.630462&z=16', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': [], 'social': ['https://ok.ru/mvideo', 'https://t.me/mvideo_official_bot', 'https://vk.com/mvideo', 'https://www.youtube.com/channel/UC84Z1707LlhS2zervmoqt3A']}"
63,"{'ID': 64, 'name': 'HitBuy', 'address': 'ул. Земляной Вал, 33, Москва', 'website': 'mi-shop.com', 'opening_hours': {'mon': '10:00-23:00', 'tue': '10:00-23:00', 'wed': '10:00-23:00', 'thu': '10:00-23:00', 'fri': '10:00-23:00', 'sat': '10:00-23:00', 'sun': '10:00-23:00'}, 'ypage': 'https://yandex.ru/maps/org/hitbuy/93144664799/?ll=37.659174%2C55.757338&z=16', 'goods': None, 'rating': '4,2', 'reviews': None, 'phone': ['+7 (495) 109-00-54Показать телефон'], 'social': ['https://t.me/officialmishopcom', 'https://vk.com/mi.russia', 'https://wa.me/79661679919', 'https://www.youtube.com/channel/UCoWAwnX1SGmQ5jiXCjdF-Cw']}"
64,"{'ID': 65, 'name': 'Xiaomi Store', 'address': 'Ходынский бул., 4, Москва', 'website': 'mi-shop.com', 'opening_hours': {'mon': '10:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-23:00', 'sat': '10:00-23:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/xiaomi_store/1746458247/?ll=37.531274%2C55.790231&z=16', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': ['+7 (495) 109-00-54Показать телефон'], 'social': ['https://t.me/officialmishopcom', 'https://vk.com/mi.russia', 'https://wa.me/79661679919', 'https://www.youtube.com/channel/UCoWAwnX1SGmQ5jiXCjdF-Cw']}"
65,"{'ID': 66, 'name': 'Xiaomi', 'address': 'МКАД, 41-й километр, с1, Москва', 'website': '', 'opening_hours': {'mon': '10:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/xiaomi/81436379696/?ll=37.492599%2C55.603232&z=16', 'goods': None, 'rating': '4,2', 'reviews': None, 'phone': ['+7 (495) 109-00-54Показать телефон'], 'social': ['https://t.me/officialmishopcom', 'https://vk.com/mi.russia', 'https://wa.me/79661679919', 'https://www.youtube.com/channel/UCoWAwnX1SGmQ5jiXCjdF-Cw']}"
66,"{'ID': 67, 'name': 'DNS', 'address': 'Лесная ул., 12, микрорайон Юбилейный, Королёв', 'website': 'dns-shop.ru', 'opening_hours': {'mon': '10:00-21:00', 'tue': '10:00-21:00', 'wed': '10:00-21:00', 'thu': '10:00-21:00', 'fri': '10:00-21:00', 'sat': '10:00-21:00', 'sun': '10:00-21:00'}, 'ypage': 'https://yandex.ru/maps/org/dns/214495138839/?ll=37.843202%2C55.933948&z=14', 'goods': None, 'rating': '4,6', 'reviews': None, 'phone': ['8 (800) 770-79-99Показать телефон'], 'social': ['https://vk.com/dnsstore', 'https://www.youtube.com/c/DNSTV']}"
67,"{'ID': 68, 'name': 'Samsung', 'address': 'площадь Киевского Вокзала, 2, Москва', 'website': 'galaxystore.ru', 'opening_hours': {'mon': '10:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-23:00', 'sat': '10:00-23:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/samsung/1143140532/?ll=37.566021%2C55.744701&z=16', 'goods': None, 'rating': '4,7', 'reviews': None, 'phone': ['+7 (495) 229-27-08Показать телефон'], 'social': ['https://vk.com/galaxystore.russia']}"
68,"{'ID': 69, 'name': '', 'address': '', 'website': '', 'opening_hours': {'mon': 'выходной', 'tue': 'выходной', 'wed': 'выходной', 'thu': 'выходной', 'fri': 'выходной', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/xiaomi/118343107696/', 'goods': None, 'rating': '', 'reviews': None, 'phone': [], 'social': []}"
69,"{'ID': 70, 'name': 'М.Видео', 'address': 'Дмитровское ш., 43, корп. 1, Москва', 'website': 'app.mvideo.ru', 'opening_hours': {'mon': 'выходной', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/m_video/1087493316/?ll=37.571686%2C55.833587&z=16', 'goods': None, 'rating': '4,5', 'reviews': None, 'phone': [], 'social': ['https://ok.ru/mvideo', 'https://t.me/mvideo_official_bot', 'https://vk.com/mvideo', 'https://www.youtube.com/channel/UC84Z1707LlhS2zervmoqt3A']}"
70,"{'ID': 71, 'name': 'Пульты', 'address': 'Звенигородское ш., 4, Москва', 'website': '', 'opening_hours': {'mon': '10:00-21:00', 'tue': '10:00-21:00', 'wed': '10:00-21:00', 'thu': '10:00-21:00', 'fri': '10:00-21:00', 'sat': '10:00-21:00', 'sun': '10:00-21:00'}, 'ypage': 'https://yandex.ru/maps/org/pulty/239632716679/?ll=37.557834%2C55.764091&z=16', 'goods': None, 'rating': '', 'reviews': None, 'phone': ['+7 (968) 006-63-33Показать телефон'], 'social': []}"
71,"{'ID': 72, 'name': 'Ситилинк мини, пункт выдачи', 'address': 'ул. Наташи Ковшовой, 8, корп. 1, Москва', 'website': 'www.citilink.ru', 'opening_hours': {'mon': '10:00-21:00', 'tue': '10:00-21:00', 'wed': '10:00-21:00', 'thu': '10:00-21:00', 'fri': '10:00-21:00', 'sat': '10:00-21:00', 'sun': '10:00-21:00'}, 'ypage': 'https://yandex.ru/maps/org/sitilink_mini_punkt_vydachi/1324858587/?ll=37.449145%2C55.681383&z=14', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': ['+7 (925) 005-57-48Показать телефон'], 'social': ['https://ok.ru/citilink.ru', 'https://vk.com/citilink_ru', 'https://www.youtube.com/user/CitilinkTV']}"
72,"{'ID': 73, 'name': 'М.Видео', 'address': 'Каширское ш., 14, Москва', 'website': 'app.mvideo.ru', 'opening_hours': {'mon': '13:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/m_video/1831983923/?ll=37.627194%2C55.663746&z=16', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': [], 'social': ['https://ok.ru/mvideo', 'https://t.me/mvideo_official_bot', 'https://vk.com/mvideo', 'https://www.youtube.com/channel/UC84Z1707LlhS2zervmoqt3A']}"
73,"{'ID': 74, 'name': 'Wineprivelege', 'address': 'Хорошёвское ш., 84, корп. 4, Москва', 'website': 'wineprivelege.ru', 'opening_hours': {'mon': '10:00-19:00', 'tue': '10:00-19:00', 'wed': '10:00-19:00', 'thu': '10:00-19:00', 'fri': '10:00-19:00', 'sat': '10:00-19:00', 'sun': '10:00-19:00'}, 'ypage': 'https://yandex.ru/maps/org/wineprivelege/23096548294/?ll=37.519458%2C55.779509&z=15', 'goods': None, 'rating': '4,4', 'reviews': None, 'phone': ['+7 (495) 095-33-23Показать телефон'], 'social': ['https://viber.click/74950953323']}"
74,"{'ID': 75, 'name': 'Эльдорадо', 'address': 'Боровское ш., 6, Москва', 'website': 'app.eldorado.ru', 'opening_hours': {'mon': '15:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/eldorado/141960907848/?ll=37.401905%2C55.658794&z=16', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': [], 'social': ['https://ok.ru/eldorado.stores', 'https://t.me/eldorado_official_bot', 'https://vk.com/eldorado_stores', 'https://www.youtube.com/user/eldoradovideo']}"
75,"{'ID': 76, 'name': 'DNS', 'address': 'ул. Кирова, 6А, Лосино-Петровский', 'website': 'dns-shop.ru', 'opening_hours': {'mon': '10:00-20:00', 'tue': '10:00-20:00', 'wed': '10:00-20:00', 'thu': '10:00-20:00', 'fri': '10:00-20:00', 'sat': '10:00-20:00', 'sun': '10:00-20:00'}, 'ypage': 'https://yandex.ru/maps/org/dns/221662382828/?ll=38.197489%2C55.865445&z=16', 'goods': None, 'rating': '4,8', 'reviews': None, 'phone': ['8 (800) 770-79-99Показать телефон'], 'social': ['https://vk.com/dnsstore', 'https://www.youtube.com/c/DNSTV']}"
76,"{'ID': 77, 'name': 'DNS', 'address': 'площадь Революции, 6, Истра', 'website': 'dns-shop.ru', 'opening_hours': {'mon': '09:00-21:00', 'tue': '09:00-21:00', 'wed': '09:00-21:00', 'thu': '09:00-21:00', 'fri': '09:00-21:00', 'sat': '09:00-21:00', 'sun': '09:00-21:00'}, 'ypage': 'https://yandex.ru/maps/org/dns/49786527284/?ll=36.857607%2C55.915094&z=14', 'goods': None, 'rating': '4,5', 'reviews': None, 'phone': ['8 (800) 770-79-99Показать телефон'], 'social': ['https://vk.com/dnsstore', 'https://www.youtube.com/c/DNSTV']}"
77,"{'ID': 78, 'name': '1mobshop.ru', 'address': 'Авиамоторная ул., 10, корп. 2, Москва', 'website': '', 'opening_hours': {'mon': '09:00-22:00', 'tue': '09:00-22:00', 'wed': '09:00-22:00', 'thu': '09:00-22:00', 'fri': '09:00-22:00', 'sat': '09:00-22:00', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/1mobshop_ru/35565345129/?ll=37.714591%2C55.754299&z=16', 'goods': None, 'rating': '2,7', 'reviews': None, 'phone': [], 'social': ['https://vk.com/public145306352']}"
78,"{'ID': 79, 'name': 'Electro-nic', 'address': 'Пятницкое ш., 18, Москва', 'website': 'electro-nic.ru', 'opening_hours': {'mon': '09:00-19:00', 'tue': '09:00-19:00', 'wed': '09:00-19:00', 'thu': '09:00-19:00', 'fri': '09:00-19:00', 'sat': '09:00-19:00', 'sun': '09:00-19:00'}, 'ypage': 'https://yandex.ru/maps/org/electro_nic/1341214388/?ll=37.383633%2C55.844334&z=16', 'goods': None, 'rating': '4,5', 'reviews': None, 'phone': ['+7 (915) 411-81-06Показать телефон'], 'social': ['https://wa.me/79154118106']}"
79,"{'ID': 80, 'name': 'Mobi-Lera.ru', 'address': 'ул. Барклая, 8, Москва', 'website': 'mobi-lera.ru', 'opening_hours': {'mon': '11:00-20:00', 'tue': '11:00-20:00', 'wed': '11:00-20:00', 'thu': '11:00-20:00', 'fri': '11:00-20:00', 'sat': '12:00-19:00', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/mobi_lera_ru/24457124541/?ll=37.502687%2C55.741186&z=16', 'goods': None, 'rating': '4,4', 'reviews': None, 'phone': ['+7 (495) 968-21-64Показать телефон'], 'social': ['http://vk.com/mobilera', 'https://www.youtube.com/channel/UCXcGAdpKsE4qJoaleo1P7EA']}"
80,"{'ID': 81, 'name': 'DNS', 'address': 'ул. Маршала Неделина, 6, Одинцово', 'website': 'dns-shop.ru', 'opening_hours': {'mon': '10:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/dns/1276199385/?ll=37.267921%2C55.678529&z=15', 'goods': None, 'rating': '4,6', 'reviews': None, 'phone': ['8 (800) 770-79-99Показать телефон'], 'social': ['https://vk.com/dnsstore', 'https://www.youtube.com/c/DNSTV']}"
81,"{'ID': 82, 'name': '', 'address': '', 'website': '', 'opening_hours': {'mon': 'выходной', 'tue': 'выходной', 'wed': 'выходной', 'thu': 'выходной', 'fri': 'выходной', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/dns/1622980608/', 'goods': None, 'rating': '', 'reviews': None, 'phone': [], 'social': []}"
82,"{'ID': 83, 'name': 'Технопарк', 'address': 'Ленинградское ш., 16А, стр. 4, Москва', 'website': 'www.technopark.ru', 'opening_hours': {'mon': '10:00-23:00', 'tue': '10:00-23:00', 'wed': '10:00-23:00', 'thu': '10:00-23:00', 'fri': '10:00-23:00', 'sat': '10:00-23:00', 'sun': '10:00-23:00'}, 'ypage': 'https://yandex.ru/maps/org/tekhnopark/70603064357/?ll=37.496299%2C55.824314&z=16', 'goods': None, 'rating': '4,8', 'reviews': None, 'phone': ['+7 (495) 755-57-77 (доб. 7900)Показать телефон'], 'social': ['https://ok.ru/group/52570757267676', 'https://vk.com/technoparkru']}"
83,"{'ID': 84, 'name': 'М.Видео', 'address': 'Чонгарский бул., 3, Москва', 'website': 'app.mvideo.ru', 'opening_hours': {'mon': 'выходной', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/m_video/1057706433/?ll=37.617366%2C55.652857&z=16', 'goods': None, 'rating': '4,4', 'reviews': None, 'phone': [], 'social': ['https://ok.ru/mvideo', 'https://t.me/mvideo_official_bot', 'https://vk.com/mvideo', 'https://www.youtube.com/channel/UC84Z1707LlhS2zervmoqt3A']}"
84,"{'ID': 85, 'name': 'Пульт.ру', 'address': 'ул. Орджоникидзе, 11, стр. 1А, Москва', 'website': 'www.pult.ru', 'opening_hours': {'mon': '09:00-21:00', 'tue': '09:00-21:00', 'wed': '09:00-21:00', 'thu': '09:00-21:00', 'fri': '09:00-21:00', 'sat': '09:00-19:00', 'sun': '09:00-19:00'}, 'ypage': 'https://yandex.ru/maps/org/pult_ru/1114524796/?ll=37.595806%2C55.707791&z=16', 'goods': None, 'rating': '4,8', 'reviews': None, 'phone': ['8 (800) 333-82-78Показать телефон'], 'social': ['https://t.me/PULTRU_BOT', 'https://vk.com/pultru', 'https://wa.me/74957555560', 'https://www.youtube.com/user/pultexpert?sub_confirmation=1']}"
85,"{'ID': 86, 'name': 'Bon Hi-fi', 'address': 'Басманный тупик, 6А, стр. 1, Москва', 'website': 'bonhifi.ru', 'opening_hours': {'mon': '11:00-21:00', 'tue': '11:00-21:00', 'wed': '11:00-21:00', 'thu': '11:00-21:00', 'fri': '11:00-21:00', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/bon_hi_fi/104629066554/?ll=37.658006%2C55.766836&z=16', 'goods': None, 'rating': '4,4', 'reviews': None, 'phone': ['+7 (495) 118-43-58Показать телефон'], 'social': ['https://wa.me/79260777785']}"
86,"{'ID': 87, 'name': 'Pioneer-Online', 'address': 'ул. Маршала Федоренко, 3, стр. 1, Москва', 'website': 'www.pioneer-online.ru', 'opening_hours': {'mon': '10:00-19:00', 'tue': '10:00-19:00', 'wed': '10:00-19:00', 'thu': '10:00-19:00', 'fri': '10:00-19:00', 'sat': '10:00-19:00', 'sun': '10:00-19:00'}, 'ypage': 'https://yandex.ru/maps/org/pioneer_online/1231682992/?ll=37.492601%2C55.878936&z=14', 'goods': None, 'rating': '4,1', 'reviews': None, 'phone': ['+7 (495) 486-50-65Показать телефон'], 'social': ['http://vk.com/public49802696', 'http://www.youtube.com/user/pioneeronline', 'https://wa.me/79252483335']}"
